home_team,home_score,away_team,away_score
Aces,48,Bears,24
Aces,45,Colts,17
Aces,38,Dukes,21
Aces,27,Eagles,10
Aces,42,Falcons,7
Aces,55,Gators,14
Aces,48,Hawks,13
Bears,35,Colts,28
Bears,21,Dukes,17
Bears,31,Eagles,14
Bears,28,Falcons,10
Bears,45,Gators,21
Bears,38,Hawks,17
Colts,24,Dukes,21
Colts,35,Eagles,17
Colts,28,Falcons,14
Colts,42,Gators,10
Colts,31,Hawks,21
Dukes,17,Eagles,14
Dukes,24,Falcons,17
Dukes,35,Gators,28
Dukes,28,Hawks,21
Eagles,24,Falcons,17
Eagles,17,Gators,24
Eagles,28,Hawks,21
Falcons,21,Gators,17
Falcons,24,Hawks,14
Gators,17,Hawks,14
Rams,35,Spartans,14
Rams,28,Tigers,21
Rams,42,Vikings,17
Rams,31,Wildcats,10
Rams,38,Zephyrs,14
Spartans,24,Tigers,21
Spartans,35,Vikings,17
Spartans,28,Wildcats,14
Spartans,45,Zephyrs,21
Tigers,31,Vikings,24
Tigers,24,Wildcats,17
Tigers,28,Zephyrs,14
Vikings,28,Wildcats,21
Vikings,35,Zephyrs,14
Wildcats,21,Zephyrs,14
Lions,21,Panthers,14
Lions,28,Sharks,17
Lions,17,Wolves,14
Panthers,24,Sharks,21
Panthers,21,Wolves,17
Wolves,21,Sharks,17
Bobcats,35,Cougars,21
Mustangs,28,Bobcats,14
Mustangs,24,Cougars,17
Lone Wolf,35,Zephyrs,14
Aces,45,Lone Wolf,17
Road Runner,35,Sharks,17
Bears,31,Road Runner,14
Trailblazer,28,Cougars,14
Lions,21,Trailblazer,14
