date,home_team,home_score,away_team,away_score,home_ranked,away_ranked
2023-08-26,Notre Dame,42,Navy,3,true,true
2023-08-26,Jacksonville State,17,UTEP,14,true,true
2023-08-26,New Mexico State,30,Massachusetts,41,true,true
2023-08-26,San Diego State,20,Ohio,13,true,true
2023-08-26,Vanderbilt,35,Hawai'i,28,true,true
2023-08-27,USC,56,San José State,28,true,true
2023-08-27,Louisiana Tech,22,Florida International,17,true,true
2023-08-31,Western Michigan,35,Saint Francis,17,true,false
2023-08-31,Wake Forest,37,Elon,17,true,false
2023-08-31,Georgia State,42,Rhode Island,35,true,false
2023-08-31,UCF,56,Kent State,6,true,true
2023-08-31,UConn,14,NC State,24,true,true
2023-09-01,UAB,35,North Carolina A&T,6,true,false
2023-09-01,Utah,24,Florida,11,true,true
2023-09-01,Tulsa,42,Arkansas-Pine Bluff,7,true,false
2023-09-01,Missouri,35,South Dakota,10,true,false
2023-09-01,Minnesota,13,Nebraska,10,true,true
2023-09-01,Arizona State,24,Southern Utah,21,true,false
2023-09-01,Eastern Michigan,33,Howard,23,true,false
2023-09-01,Michigan State,31,Central Michigan,7,true,true
2023-09-01,Miami,38,Miami (OH),3,true,true
2023-09-01,Georgia Tech,34,Louisville,39,true,true
2023-09-02,Kansas,48,Missouri State,17,true,false
2023-09-02,Hawai'i,24,Stanford,37,true,true
2023-09-02,Tennessee,49,Virginia,13,true,true
2023-09-02,Boston College,24,Northern Illinois,27,true,true
2023-09-02,Liberty,34,Bowling Green,24,true,true
2023-09-02,Michigan,30,East Carolina,3,true,true
2023-09-02,SMU,38,Louisiana Tech,14,true,true
2023-09-02,Purdue,35,Fresno State,39,true,true
2023-09-02,Iowa,24,Utah State,14,true,true
2023-09-02,Oklahoma,73,Arkansas State,0,true,true
2023-09-02,TCU,42,Colorado,45,true,true
2023-09-02,Kentucky,44,Ball State,14,true,true
2023-09-02,Air Force,42,Robert Morris,7,true,false
2023-09-02,Jacksonville State,49,East Tennessee State,3,true,false
2023-09-02,Ole Miss,73,Mercer,7,true,false
2023-09-02,Ohio,27,Long Island University,10,true,false
2023-09-02,Temple,24,Akron,21,true,true
2023-09-02,Iowa State,30,Northern Iowa,9,true,false
2023-09-02,Oregon,81,Portland State,7,true,false
2023-09-02,Indiana,3,Ohio State,23,true,true
2023-09-02,Wisconsin,38,Buffalo,17,true,true
2023-09-02,Auburn,59,Massachusetts,14,true,true
2023-09-02,Texas,37,Rice,10,true,true
2023-09-02,Pittsburgh,45,Wofford,7,true,false
2023-09-02,Western Kentucky,41,South Florida,24,true,true
2023-09-02,Cincinnati,66,Eastern Kentucky,13,true,false
2023-09-02,Washington,56,Boise State,19,true,true
2023-09-02,Notre Dame,56,Tennessee State,3,true,false
2023-09-02,Maryland,38,Towson,6,true,false
2023-09-02,App State,45,Gardner-Webb,24,true,false
