date,home_team,home_score,away_team,away_score,home_ranked,away_ranked
2024-08-24,Georgia Tech,24,Florida State,21,true,true
2024-08-24,New Mexico,31,Montana State,35,true,false
2024-08-25,Nevada,24,SMU,29,true,true
2024-08-25,Hawai'i,35,Delaware State,14,true,false
2024-08-29,Rutgers,44,Howard,7,true,false
2024-08-29,UL Monroe,30,Jackson State,14,true,false
2024-08-29,Wake Forest,45,North Carolina A&T,13,true,false
2024-08-29,Buffalo,30,Lafayette,13,true,false
2024-08-29,UCF,57,New Hampshire,3,true,false
2024-08-29,NC State,38,Western Carolina,21,true,false
2024-08-29,Central Michigan,66,Central Connecticut,10,true,false
2024-08-29,Bowling Green,41,Fordham,17,true,false
2024-08-29,Toledo,49,Duquesne,10,true,false
2024-08-29,Arkansas,70,Arkansas-Pine Bluff,0,true,false
2024-08-30,Jacksonville State,27,Coastal Carolina,55,true,true
2024-08-30,Tulsa,62,Northwestern State,28,true,false
2024-08-30,Colorado,31,North Dakota State,26,true,false
2024-08-30,Missouri,51,Murray State,0,true,false
2024-08-30,Kansas,48,Lindenwood,3,true,false
2024-08-30,UAB,41,Alcorn State,3,true,false
2024-08-30,Tulane,52,SE Louisiana,0,true,false
2024-08-30,Minnesota,17,North Carolina,19,true,true
2024-08-30,Illinois,45,Eastern Illinois,0,true,false
2024-08-30,Utah,49,Southern Utah,0,true,false
2024-08-30,San José State,42,Sacramento State,24,true,false
2024-08-30,Army,42,Lehigh,7,true,false
2024-08-30,Oklahoma,51,Temple,3,true,true
2024-08-30,Michigan State,16,Florida Atlantic,10,true,true
2024-08-30,Duke,26,Elon,3,true,false
2024-08-31,Wisconsin,28,Western Michigan,14,true,true
2024-08-31,Stanford,27,TCU,34,true,true
2024-08-31,Utah State,36,Robert Morris,14,true,false
2024-08-31,Purdue,49,Indiana State,0,true,false
2024-08-31,Louisville,62,Austin Peay,0,true,false
2024-08-31,Navy,49,Bucknell,21,true,false
2024-08-31,Iowa,40,Illinois State,0,true,false
2024-08-31,Maryland,50,UConn,7,true,true
2024-08-31,Pittsburgh,55,Kent State,24,true,true
2024-08-31,Vanderbilt,34,Virginia Tech,27,true,true
2024-08-31,West Virginia,12,Penn State,34,true,true
2024-08-31,Georgia,34,Clemson,3,true,true
2024-08-31,Tennessee,69,Chattanooga,3,true,false
2024-08-31,Oklahoma State,44,South Dakota State,20,true,false
2024-08-31,Cincinnati,38,Towson,20,true,false
2024-08-31,Washington State,70,Portland State,30,true,false
2024-08-31,UTSA,28,Kennesaw State,16,true,true
2024-08-31,Texas,52,Colorado State,0,true,true
2024-08-31,Syracuse,38,Ohio,22,true,true
2024-08-31,Ohio State,52,Akron,6,true,true
2024-08-31,Florida,17,Miami,41,true,true
2024-08-31,App State,38,East Tennessee State,10,true,false
2024-08-31,Iowa State,21,North Dakota,3,true,false
2024-08-31,Air Force,21,Merrimack,6,true,false
2024-08-31,Northwestern,13,Miami (OH),6,true,true
2024-08-31,Northern Illinois,54,Western Illinois,15,true,false
2024-08-31,Indiana,31,Florida International,7,true,true
2024-08-31,Massachusetts,14,Eastern Michigan,28,true,true
2024-08-31,Nebraska,40,UTEP,7,true,true
2024-08-31,Georgia Southern,45,Boise State,56,true,true
2024-08-31,South Carolina,23,Old Dominion,19,true,true
2024-08-31,South Alabama,38,North Texas,52,true,true
2024-08-31,California,31,UC Davis,13,true,false
2024-08-31,Marshall,45,Stony Brook,3,true,false
2024-08-31,Liberty,41,Campbell,24,true,false
2024-08-31,Virginia,34,Richmond,13,true,false
2024-08-31,Mississippi State,56,Eastern Kentucky,7,true,false
2024-08-31,East Carolina,42,Norfolk State,3,true,false
2024-08-31,Oregon State,38,Idaho State,15,true,false
